Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
0540;0540;Kartverket;Utgått;29.11.2017;1;Sør-Aurdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0540/c452db07-1372-484a-b5dc-409bf9181f8a;
0541;0541;Kartverket;Utgått;29.11.2017;1;Etnedal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0541/8e435c5b-1b62-4af6-b05b-96a5b7ef7920;
0542;0542;Kartverket;Utgått;29.11.2017;1;Nord-Aurdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0542/429220ee-ab6a-488e-a3ca-7c7ad4a386e5;
0543;0543;Kartverket;Utgått;29.11.2017;1;Vestre Slidre;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0543/58009602-df96-4595-ae14-c683306b2a71;
0544;0544;Kartverket;Utgått;29.11.2017;1;Øystre Slidre;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0544/75c2fc4c-da27-455c-b24a-2be2fe84a247;
0545;0545;Kartverket;Utgått;29.11.2017;1;Vang;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0545/56f91d08-6ff6-454d-b58a-65b4d2e0e417;
0602;0602;Kartverket;Utgått;29.11.2017;1;Drammen;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0602/b18c4a99-f0e3-4774-a896-7fde954b02ff;
0604;0604;Kartverket;Utgått;29.11.2017;1;Kongsberg;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0604/bad7892c-18d2-42c3-88df-6e18ed8d992e;
0605;0605;Kartverket;Utgått;29.11.2017;1;Ringerike;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0605/f4b7cb9d-9972-472f-aeeb-57db2c0eb7bd;
0612;0612;Kartverket;Utgått;29.11.2017;1;Hole;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0612/4b3b7b8e-2fa7-43d3-a304-122d991c0e6c;
0615;0615;Kartverket;Utgått;29.11.2017;1;Flå;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0615/1938ca70-de2c-42c0-8216-6539f9be8c8f;
0616;0616;Kartverket;Utgått;29.11.2017;1;Nes i Buskerud;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0616/05938253-a13a-46b2-a289-bf7d8f1f0e24;
0617;0617;Kartverket;Utgått;29.11.2017;1;Gol;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0617/69818310-c5b7-401c-a5e5-b39dfd238845;
0618;0618;Kartverket;Utgått;29.11.2017;1;Hemsedal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0618/9da25b8d-d03a-46ec-abf6-a522c5420afd;
0619;0619;Kartverket;Utgått;29.11.2017;1;Ål;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0619/ee922dc3-12d2-4dbc-af6c-d193de3f598c;
0620;0620;Kartverket;Utgått;29.11.2017;1;Hol;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0620/931e0c92-4125-4920-ac30-15a37de2c1f6;
0621;0621;Kartverket;Utgått;29.11.2017;1;Sigdal;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0621/5c7c11ef-5a92-42e5-a9e1-ab62c57df2b7;
0622;0622;Kartverket;Utgått;29.11.2017;1;Krødsherad;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0622/462cebe9-a4bf-420a-846d-33274b039930;
0623;0623;Kartverket;Utgått;29.11.2017;1;Modum;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0623/f8b5cea3-9e14-4beb-b4fd-9b9733797751;
0624;0624;Kartverket;Utgått;29.11.2017;1;Øvre Eiker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0624/399a5390-18b6-44c6-90d6-c2299d7570be;
0625;0625;Kartverket;Utgått;29.11.2017;1;Nedre Eiker;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0625/ff9825b7-853e-421a-9637-01bb0d3080fd;
0626;0626;Kartverket;Utgått;29.11.2017;1;Lier;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0626/a0da8ce0-5432-4a56-81a5-0e1fe1ae1793;
0627;0627;Kartverket;Utgått;29.11.2017;1;Røyken;;31.12.2019 00.00.00;https://register.geonorge.no/sosi-kodelister/kommunenummer-alle/0627/42eb282a-5c71-4ed8-976f-934b618541a5;
